BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;12220;-1;<p:>;;;;;;;;;;
12221;8378;0;z;;Sonne;z O n @;;;;;;;
20600;5732;0;O;;Sonne;z O n @;;;;;;;
26333;3086;0;n;;Sonne;z O n @;;;;;;;
29420;14993;0;@;;Sonne;z O n @;;;;;;;
44414;21167;-1;<p:>;;;;;;;;;;
65582;10142;1;z;;Säure;z OY r @;;;;;;;
75725;12347;1;OY;;Säure;z OY r @;;;;;;;
88073;2204;1;r;;Säure;z OY r @;;;;;;;
90278;12347;1;@;;Säure;z OY r @;;;;;;;
102626;22490;-1;<p:>;;;;;;;;;;
125117;10142;2;z;;Seele;z e: l @;;;;;;;
135260;11024;2;e:;;Seele;z e: l @;;;;;;;
146285;2204;2;l;;Seele;z e: l @;;;;;;;
148490;9260;2;@;;Seele;z e: l @;;;;;;;
157751;21167;-1;<p:>;;;;;;;;;;
178919;9701;3;z;;Säule;z OY l @;;;;;;;
188621;9260;3;OY;;Säule;z OY l @;;;;;;;
197882;5291;3;l;;Säule;z OY l @;;;;;;;
203174;8378;3;@;;Säule;z OY l @;;;;;;;
211553;26900;-1;<p:>;;;;;;;;;;
238454;8378;4;s;;Salz;z a l ts;;;;;;;
246833;6614;4;a;;Salz;z a l ts;;;;;;;
253448;9701;4;l;;Salz;z a l ts;;;;;;;
263150;10583;4;ts;;Salz;z a l ts;;;;;;;
273734;22931;-1;<p:>;;;;;;;;;;
296666;3527;5;z;;Samen;z a: m @ n;;;;;;;
300194;12788;5;a:;;Samen;z a: m @ n;;;;;;;
312983;3086;5;m;;Samen;z a: m @ n;;;;;;;
316070;4409;5;@;;Samen;z a: m @ n;;;;;;;
320480;8819;5;n;;Samen;z a: m @ n;;;;;;;
329300;18962;-1;<p:>;;;;;;;;;;
348263;6173;6;s;;Singen;z I N @ n;;;;;;;
354437;3086;6;I;;Singen;z I N @ n;;;;;;;
357524;5291;6;N;;Singen;z I N @ n;;;;;;;
362816;6173;6;@;;Singen;z I N @ n;;;;;;;
368990;5291;6;n;;Singen;z I N @ n;;;;;;;
374282;25136;-1;<p:>;;;;;;;;;;
399419;8378;7;s;;Sicht;z I C t;;;;;;;
407798;4409;7;I;;Sicht;z I C t;;;;;;;
412208;6614;7;C;;Sicht;z I C t;;;;;;;
418823;7937;7;t;;Sicht;z I C t;;;;;;;
426761;29105;-1;<p:>;;;;;;;;;;
455867;7055;8;z;;Sicher;z I C 6;;;;;;;
462923;3086;8;I;;Sicher;z I C 6;;;;;;;
466010;5732;8;C;;Sicher;z I C 6;;;;;;;
471743;8378;8;6;;Sicher;z I C 6;;;;;;;
480122;23813;-1;<p:>;;;;;;;;;;
503936;8819;9;s;;Sammlung;z a m l U N;;;;;;;
512756;6173;9;a;;Sammlung;z a m l U N;;;;;;;
518930;1322;9;m;;Sammlung;z a m l U N;;;;;;;
520253;5291;9;l;;Sammlung;z a m l U N;;;;;;;
525545;4850;9;U;;Sammlung;z a m l U N;;;;;;;
530396;6173;9;N;;Sammlung;z a m l U N;;;;;;;
536570;12347;-1;<p:>;;;;;;;;;;
548918;7055;10;z;;Sekunde;z e k U n d @;;;;;;;
555974;6173;10;e;;Sekunde;z e k U n d @;;;;;;;
562148;4850;10;k;;Sekunde;z e k U n d @;;;;;;;
566999;4409;10;U;;Sekunde;z e k U n d @;;;;;;;
571409;4850;10;n;;Sekunde;z e k U n d @;;;;;;;
576260;1322;10;d;;Sekunde;z e k U n d @;;;;;;;
577583;4409;10;@;;Sekunde;z e k U n d @;;;;;;;
581993;88199;-1;<p:>;;;;;;;;;;
670193;1322;11;?;;Essen;? E s @ n;;;;;;;
671516;5732;11;E;;Essen;? E s @ n;;;;;;;
677249;6173;11;s;;Essen;? E s @ n;;;;;;;
683423;10142;11;@;;Essen;? E s @ n;;;;;;;
